Song,Artists,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation,
You & I,"Mike Williams, Dastic","You held me like your heartbeat
Each word like a snowflake
I yearn for the distance to slowly fade away
We are young, this is right
We were meant, you and I
We are once in a lifetime
And if fairy deserts me tonight
It's you and I
If fairy deserts me tonight
It's you and I
It's you and I
It's you and I
You frame me like a picture
A moment in forever
Slow rolling underwater
But nothing needs to change
We are young, this is right
We were meant, you and I
We are once in a lifetime
And if fairy deserts me tonight
It's you and I
If fairy deserts me tonight
It's you and I
It's you and I
It's you and I
If fairy deserts me tonight
It's you and I",1,1,0,0,0,0,0,1,
Been a While,Ashworth,"It's been a while
Since I let you
Cross my mind
I can't let you run
How could I let you go
How could I let you go
Haven't seen you around for a while
And how could I let you go
How could I let you go
Haven't seen you naked for a while
How could I let you go
It's been a while
since I let you
drive a round
I could choose you, lover
How could I let you go
How could I let you go
Haven't seen you a round for a while
And how could I let you go
How could I let you go
Haven't seen you naked for a while
How could I let you go
How could I let you go",0,0,0,0,1,1,0,0,
Afterhours,"TroyBoi, Diplo, Nina Sky","Open, living for the night like it is golden
Yeah I came to win I'm never folding
I just wanna dance among the stars
These afterhours got me charged and
Open, living for the night like it is golden
Yeah I came to win I'm never folding
I just wanna dance among the stars
These afterhours got me charged and
I just wanna dance among the stars
I just wanna dance among the stars
I just wanna dance among the stars
These afterhours got me charged
Afterhours got me charged
Afterhours got me charged
Afterhours got me charged
Open, living for the night like it is golden
Yeah I came to win I'm never folding
I just wanna dance among the stars
These afterhours got me charged and
Open, living for the night like it is golden
Yeah I came to win I'm never folding
I just wanna dance among the stars
These afterhours got me charged and
I just wanna dance among the stars
I just wanna dance among the stars
I just wanna dance among the stars
Afterhours got me charged
Afterhours got me charged
Afterhours got me charged
I just wanna dance among the stars
I just wanna dance among the stars
I just wanna dance among the stars
These afterhours got me charged
I just wanna dance among the stars
I just wanna dance among the stars",1,0,0,0,0,0,0,1,
Starving,"Hailee Steinfeld, Grey, Zedd","You know just what to say
Shit, that scares me, I should just walk away
But I can't move my feet
The more that I know you, the more I want to
Something inside me's changed
I was so much younger yesterday, oh
I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you
You know just how to make my heart beat faster
Emotional earthquake, bring on disaster
You hit me head-on, got me weak in my knees
Yeah, something inside me's changed
I was so much younger yesterday, ye-eah
So much younger yesterday, oh, yeah
I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you
You, yeah, till I tasted you
(I didn't know that I-I didn't know that I-till I tasted you)
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you, ooh, ooh, ooh, ooh
Na-na-na-na
Na-na-na-na
The more that I know you, the more I want to
Something inside me's changed
I was so much younger yesterday",1,0,1,1,0,0,0,1,
Freak Caroline (Remix),"Sterling Fox, Almond and Samme","She soaks in champagne and Lola Faded eyes and lonely chic A pied a terre in the Upper East Zoloft and estranged personas Rhapsody in black and blue The night is young and so are you so hey Reaching out and touching me and touching you. Chained to the night, she coppin’ rolls Straight to the high when she drop it low. Freak Caroline Freak Caroline Slave to the life, she make it go Straight to the high when she drop it low. Freak Caroline Freak Caroline Blonde, crazy, you’re vain and vulgar A suicide in a limousine While daddy fills up the gasoline Oh ain’t it a shame you’re over In the end it’s a tragedy We’ll tell her thanks for the memories and hey So shy Reaching out and touching me and fuck you Chained to the night, she coppin’ rolls Straight to the high when she drop it low. Freak Caroline Freak Caroline Slave to the life, she make it go Straight to the high when she drop it low. Freak Caroline Freak Caroline Chained to the night, she coppin’ rolls Straight to the high when she drop it low. Freak Caroline Freak Caroline Slave to the life, she make it go Straight to the high when she drop it low. Freak Caroline Freak Caroline
",0,0,0,0,1,1,1,0,
Pumpin Blood (Remix),"NONONO, The Jane Doze","Hey heart, on the road again
Moving on
Forward
See the stars, won't break the bones
They're in the car
On the highway
It's so magical, feeling, that no one's got a hold
Your heart can list the all, happiness you know
This is your heart, it's alive
It's pumping blood
It's your heart, it's alive
It's pumping blood
And the whole wide world is whistling
And it's whistling
Hey heart, on the run again
Drive is strong
Anywhere
Stick and stones won't take his course
It's got the ball
And it fits it
It's the best of world's feeling, like nothing can go wrong
You're the saddle of the world, you get to know
'Cause it's your heart, it's alive
It's pumping blood
It's your heart, it's alive
It's pumping blood
And the whole wide world is whistling
Hey heart, won't you run again
On a highway
On a highway
Hey heart, won't you run again
On a highway
On a highway
This is your heart, it's alive
It's pumping blood
It's your heart, it's alive
It's pumping blood
And the whole wide world is whistling
Is whistling
And it's whistling
And it's whistling",1,1,0,0,0,0,0,1,
I'm Finessin,Treh LaMonte,"Walk through this city
Feel this stress
No time for love
'Cause time's compressed
Trying to find my way up out the gutter
Trying to do this right here for my mother
Now, rich rich rich rich
Did a lick and dismiss
We just trying to get this, go
I'm finessin', I'm finessin', I'm finessin', ohhh
So leave a message, I'm finessin', I'm finessin', ohhh
So leave a message... ohhh
Yeah, forget the fame
I stay the same
No time to play
This ain't no game
They know I come from out the way
Someone tell them where I stay
Now, rich rich rich rich
Did a lick and dismiss
We just trying to get this, go
Now, rich rich rich rich
Did a lick and dismiss
We just trying to get this, go
I'm finessin', I'm finessin', I'm finessin', ohhh
So leave a message, I'm finessin', I'm finessin', ohhh
So leave a message... ohhh
Got you on a road, finessin' on the road
I can't let it go, I can't let it go
Now it's you on a road, finessin' on the road
I can't let it go, I can't let it go
Now it's you on a road, finessin' on the road
I can't let it go, I can't let it go
Now it's you on a road
Finessin' on the road
Yeah
I'm finessin', I'm finessin', I'm finessin', ohhh
So leave a message, I'm finessin', I'm finessin', ohhh
So leave a message... ohhh",0,1,0,0,0,1,1,0,
Hear You Say ,"Joyzu, Olivia Reid","keep it sweet keep it lovely
so all I can hear you whisper
keep it sweet say it slowly
I love you I wanna hear you say
it's been awhile since you've known me
I loved you then and I love you now today
it's been awhile since you've known me
I love you I wanna hear you say
keep it sweet keep it lovely
so all I can hear whisper
keep it sweet say it slowly
I love you I wanna hear you say
please say you love me
please say you love me
please say you love me
I wanna hear you say
I wanna hear you say
keep it sweet keep it lovely
so all I can hear you whisper
keep it sweet say it slowly
I love you I wanna hear you say
keep it sweet keep it lovely
so all I can hear you whisper
keep it sweet say it slowly
I love you I wanna hear you say
please say you love me
please say you love me
please say you love me
I wanna hear you say
I wanna hear you say",1,1,0,0,0,0,0,1,
When We Were Young,"Piero, ALIUS",across the sky you make me smile not a fear in my childish eye a while I hold my breath and I jump in I'm ready to run so I close my eyes and make my wish to dream if our hearts were made of gold we will never be alone with our head once in the sky when we were young when we were young and the clouds used to be a vision of imaginary so we're staying forever but we'll remember when we were young when we were young when we were young when we were young,1,1,0,0,1,0,0,0,
Please Don't Go (Remix),"Dresses, Cheat Codes","Please don't go, please don't go
Please don't go
It's Sunday night, a starry summer sky
I hope that you ask me
So stay the night
The sun will never rise
I think that you want me
I'm tryina find the words to say
Please don't go, I want you I don't wanna sleep alone
We won't know what could have been if you walk out the door
Please don't go, oho, oho, oho, oho
Please don't go, oho, oho, oho, oho
...
Let's go inside, I'm starting to get tired
I'm shy and too afraid to say it
So stay the night
The sun will never rise
I'll try, I'll try
I'll try to find the words to say.
Please don't go, I want you I don't wanna sleep alone
We won't know what could have been if you walk out the door
Please don't go, oho, oho, oho, oho
Please don't go, oho, oho, oho, oho
Please don't go
Please don't go
Please don't go

...
Please don't go
Please don't go
Please don't go",1,0,1,0,0,0,0,1,
Spaceship,Comet Blue,"I could build a spaceship for you
But it wouldn't get us anywhere tonight
And you can start a revolution
But we both know it will never end
It won't end this stupid fight
I just wanna laugh with you
Burn our ships and start anew
Don't you wanna try?
I could build a spaceship for you
If you really feel you need to fly away
You would have a hell of a view
Never ever see a cloudy day
But I'm asking you to stay
I just wanna laugh with you
Burn our ships and start anew
Maybe if we try
I will build a spaceship for you
That will take you right up to the stars tonight
It will be a spaceship for two
If you're gonna make it to the moon
I'll be right there by your side
I just wanna laugh with you
Leave the world and start anew
We just gotta try
I could build a spaceship for you
You can start a revolution",0,1,0,0,1,0,0,1,
Motorsport,"Migos, Nicki Minaj, Cardi B","Yeah, skrrt
M-M-M-Murda
Motorsport, yeah, put that thing in sport (skrrt, skrrt)
Shawty bad (bad), pop her like a cork (pop it)
You a dork, never been a sport (dork, yeah)
Pull up (woo, woo), jumpin' out the court (court, jump)
Cotton candy (drink), my cup tastes like the fair (cotton)
Straight up there (where?) we didn't take the stairs (where?)
Faced my fears (fears), gave my mama tears (mama)
Shiftin' gears (shift), on the Nawf, get serious (serious)
Face all your fears, then get at me
Hit so many donuts on them backstreets
Sit so high in the nosebleeds (yeah)
Feel like I can fly, yeah
Xans, Perky, check (yeah), Bill Belichick
Take the air out the ball, just so I can flex
Take the air out the mall, walkin' with the sacks
Take the air out your broad (hey), now she can't go back
Xans, Perky, check (yeah), Bill Belichick
Take the air out the ball (yeah), just so I can flex
Take the air out the mall (hey, walk in with the sacks)
Take the air out your broad (woo, woo, woo, E)
Girl, yeah, yeah
I wish my grandma could see me (grandma)
Take away, pain ain't easy (pain)
That's why I fire up a bleezy (fire)
Niggas not cappin' this season
Offset
The coupe came imported (hey)
This season's Off-White come in snorted (white)
Green Lamborghini a tortoise (Lambo)
No human being, I'm immortal (no)
Patek and A.P. full of water (Patek)
Hundred K, I spend on my señora (racks)
My pinky on margarine, butter (margarine)
And my ears got McDonald's nuggets (ayy)
Soon, as I land on the Leer (whew)
Piguets, they wet, tears ('guets)
488, hit the gears (488)
Suicide doors, Britney Spears
I'm boujee, so, bitch, don't get near (boujee)
Criss Angel, make dope disappear (voila)
Hit the gas, it got flames out the rears (skrrt)
It's a race to the bag, get the mills (hey)
Ride the dick like a BMX
No nigga wanna be my ex (no)
I love, when he go on tour
'Cause he cums more, when I see him less
I get upset off, I turn Offset on
I told him the other day
Man, we should sell that porn
Yeah, Cardi B, I'm back, bitches
I don't wanna hear I'm actin' different
Same lips that be talkin' 'bout me
Is the same lips that be ass kissin'
These hoes ain't, what they say they are
And their pussy stank, they're catfishin'
Same hoes, that was sendin' shots
They reachin' out like their back itchin'
Why would I hop in some beef (why?)
When I could just hop in a Porsche?
You heard she gon' do what from who?
That's not a reliable source, no
So tell me, have you seen her?
Let me wrap my weave up
I'm the trap Selena
Dame más gasolina (skrrt)
Motorsport, yeah, put that thing in sport (skrrt, skrrt)
Shawty bad (bad), pop her like a cork (pop it)
You a dork, never been a sport (dork, yeah)
Pull up (woo, woo), jumpin' out the court (court, jump)
Cotton candy (drink), my cup tastes like the fair (cotton)
Straight up there (where?), we didn't take the stairs (where?)
Faced my fears (fears), gave my mama tears (mama)
Shiftin' gears (shift), on the Nawf, get serious (serious)
Uh, yo, watch your man, then you should watch your mouth
Bitches is pressed, administer mouth to mouth
You see them stats, you know, what I am about
I am the champ, I'm Iron Mike in a bout
Attention, I'ma need you to face front
You don't want smoke with me, this is a laced blunt
Rap's Jackie Chan, we ain't pullin' them fake stunts
My crown won't fit on your bum ass lace fronts (uh)
You bitches catchin' a fade, shout out my nigga Lil Boosie
All of your friends'll be dead, you can get hit with that Uzi
I call him Ricky, he say he love me like Lucy
Get you a straw nigga, you know this pussy is juicy
This Givenchy is custom made, now you can't get it at Saks though
I don't work in no office, but they copyin' and that's facts though
I ain't tryna be violent, but if Nicki on it, it slaps, ho
Get you lined for that paper like a loose leaf when that strap blow
I'm with a couple bad bitches that'll rip the party
Quavo the QB, I'm Nick Lombardi
Pull up in the space coupe, I done linked with Marty
I can actually afford to get a pink Bugatti
""Yo Nick, didn't you just do a hit with Gotti?""
That too, but my niggas send hits like Gotti
It's a wrap, like the things on the head of a Saudi
Bitch, you my son, go and sit on the potty (rrrr)
Brand new Chanels (Chanels)
I stepped on runnin' from 12 (12)
Ain't make no commitment with none of you bitches
'Cause money is treatin' me well (uh uh)
If Nicki should show me her titty
Right hand on the Bible, I swear I won't tell (swear)
If I get to play with that kitty
I wonder how many platinums we gon' sell (albums)
Pop a Perc and catch a feel (I pop one)
Now I cannot feel the wheel (woah)
My chest bad, give me chills
And the left hand on Richard Mille (ice)
Not the watch, but the price on the ice
If you don't know what that is (huh)
Motorsport, motorville
Abort the mission, that's a kill (pew, pew, brrr)
Motorsport, yeah, put that thing in sport (skrrt, skrrt)
Shawty bad (bad), pop her like a cork (pop it)
You a dork, never been a sport (dork, yeah)
Pull up (woo, woo), jumpin' out the court (court, jump)
Cotton candy (drink), my cup tastes like the fair (cotton)
Straight up there (where?) we didn't take the stairs (where?)
Faced my fears (fears), gave my mama tears (mama)
Shiftin' gears (shift), on the Nawf, get serious (serious)",1,1,0,0,0,1,1,0,
Coconuts,"Triarchy, J.Lauryn","Don't care if summers gone
I still do what i want
i'll dancing till' the morning
comes up everyday
Dont wanna live that life
Much more than 95
My soul is free i'm live on timeless
escapades
Once in a life time you'll see
Just who you're truly meant to be
Once in a while take a chance
You can sitback and relax now
If it feels right, you doin' it right
Keep it going 'till the end of the night
Don't stop it Don't stop it
No worries, i got it
If it feels right i'm doin' it right
In the sun or in the moonlight
Living life just how i sippin' outta Coconuts
Sippin' outta coconuts
We watch the season change
But my hearts feels the same
Long nights they take me back to
Vivid memories
Why should it ever stop
This life is all we got so i'm gonna take it
Bring it all to the basics
Once in a life time you'll see
Just who you're truly meant to be
Once in a while take a chance
You can sitback and relax now
If it feels right, you doin' it right
Keep it going 'till the end of the night
Don't stop it Don't stop it
No worries, i got it
If it feels right i'm doin' it right
In the sun or in the moonlight
Living life just how i sippin' outta Coconuts
Sippin' outta coconuts
Sippin' outta coconuts",1,1,0,0,0,0,0,0,
Days Run Out,"Gostan, The Ready Set","Summer shining down on your skin,
Like the times when it all felt right,
(way back then)
We take a little of anything,
Let it cross into our sight
And it a-a-all, felt like heaven,
Running wild
And I w-o-o-on't, won't forget that,
When all our days run out
Now
Now, now x3
When all our days run out
Yeah, oooh
When all our days run out
Oh x4
When all our days run out
Now,
Now, now x3
All your love I was sinking in,
While the world passed us on by,
Oooh
And it all felt like heaven,
Running wild,
And I w-o-o-on't forget that,
When all our days run out
Now
Now, now x3
When all our days run out
Yeah, oooh
When all our days run out
Oh x4
When all our days run out
Now,
Now, now x3
And it all, felt like, heaven,
Running wild
And I won't, forget that,
When our days run out,
When our days run out, oooh
When our days run out, oooh
When our days run out, hey, yeah
When our days run out,
And it all, felt like heaven,
Running wild
And I w-o-o-on't forget that,
When all our days run out
Now
Now, now x3
When all our days run out
Yeah, oooh
When all our days run out
Oh x4
When all our days run out
Now,
Now, now x3",0,1,0,0,1,0,0,0,
Little Talks,Of Monsters and Men,"Hey! Hey! Hey!
I don't like walking around this old and empty house
So hold my hand, I'll walk with you my dear
The stairs creak as I sleep,
It's keeping me awake
It's the house telling you to close your eyes
And some days I can't even trust myself
It's killing me to see you this way
'Cause though the truth may vary
This ship will carry our bodies safe to shore
Hey! Hey! Hey!
There's an old voice in my head
That's holding me back
Well tell her that I miss our little talks
Soon it will all be over, and buried with our past
We used to play outside when we were young
And full of life and full of love
Some days I don't know if I am wrong or right.
Your mind is playing tricks on you my dear
'Cause though the truth may vary
This ship will carry our bodies safe to shore
Hey!
Don't listen to a word I say
Hey!
The screams all sound the same
Hey!
Though the truth may vary
This ship will carry our bodies safe to shore
You're gone, gone, gone away,
I watched you disappear
All that's left is a ghost of you
Now we're torn, torn, torn apart,
there's nothing we can do,
Just let me go, we'll meet again soon
Now wait, wait, wait for me, please hang around
I'll see you when I fall asleep
Hey!
Don't listen to a word I say
Hey!
The screams all sound the same
Hey!
Though the truth may vary
this ship will carry our bodies safe to shore
Hey!
Don't listen to a word I say
Hey!
The screams all sound the same
Hey!
Though the truth may vary
This ship will carry our bodies safe to shore
Though the truth may vary
This ship will carry our bodies safe to shore
Though the truth may vary
This ship will carry our bodies safe to shore",0,1,1,0,1,0,0,0,
Verona,Lostboycrow,"Tangled in the sunrise
(tangled in the sunrise)
Pretending we care what the clocks strikes (pretend pretend pretend)
Yea I see storms in your eyes
(I see storms)
Their leftover from last night
(Pretend pretend pretend)
If it's in your heart it's not so fun but I can't stop looking since you found me attractive
I can't get past it
If it's in the deep blue of your sky
stare into mine and you can hold me captive, do me without askin'
And love me through life
Cause baby we can know where to go
and love me through life
Cause baby we can know it
Deeper than devotion
I don't need cigarettes when i've got your potion
Ooh pour a little poison
Not another day which you've been holdin'
If it's in your heart it's not so fun but I can't stop looking since you, found me attractive
I can't get past it
If it's in the deep blue of your sky
stare into mine and you can hold me captive, do me without askin'
And love me through life
Cause baby we can know where to go
And love me through life
Cause baby we can know it
Cause baby we can know it
I watched a flame around your tongue
You spoke of fire forever young and now I'm burning for it
You got me burning for it
Kiss me again with more red wine
Most lovers stay without goodbye
You got me hurting for it
You got me hurting for it
(You got me hurting, got me burning, now I'm hurting for it)
(You got me burning, got me hurting)
Kiss me again
Love me through life
Cause baby we can know where to go
(Kiss me again ohh)
And love me through life
Cause baby we can know where to go
And love me through life
Cause baby we can know it",1,1,0,0,0,0,0,1,
Infinity (Remix),"Niykee Heaton, House of Chords","Ooh-ooh
I wanna walk to the edge of the earth
Scream your name'till the fire's gone from my lungs
I wanna drink till I don't feel the urge
To run back to you and lay down, make me yours
I can still feel your breath all over me, filling me
I could fuck with you for eternity, infinity
Takeoff and lights on, I could be your lover
I could be the one for you and no one else at all
So how long will it be till you see how bad I need this?
I'll give you all if you please never leave, I need to keep it
I could fuck with you for infinity
I wish I never touched no one before
I envy the hearts that you've adored
Who you've loved
Don't wanna fight, so let's settle the score
Tear me apart
But don't let go
I can still feel your breath all over me, filling me
I could fuck with you for eternity, infinity
Takeoff and lights on, I could be your lover
I could be the one for you and no one else at all
So how long will it be till you see how bad I need this?
I'll give you all if you please never leave, I need to keep it
I could fuck with you for infinity
Tell me that I'm crazy, tell me I'm wrong
I will be your baby even when you're gone
'Cause I don't wanna take that I don't feel you at all
I'll be standing here when you call
I can still feel your breath all over me, filling me
I could fuck with you for eternity, infinity
Takeoff and lights on, I could be your lover
I could be the one for you and no one else at all
So how long will it take till you see how bad I need this?
I'll give you all if you please never leave, I need to keep it
I could fuck with you for infinity
I could fuck with you for infinity
I could fuck with you for infinity",0,1,1,0,0,0,0,1,
Show Me Love (Remix),"Sam Feldt, Kimberly Anne, EDX","Heartbreaks and promises
I've had more than my share
I'm tired of giving my love
And getting nowhere, nowhere
What I need is somebody 
Who really cares
I really need a lover
Who wants to be there
It's been so long since
I've touched the wanting hand
I'll put my love on the line
Yes I hope you'll understand
So, baby if you want me
You've got to show me love
Words are so easy to say 
But, you've got to show me love
But, you've got to show me love
Baby give me a reason
What I need is somebody 
Who will always be there
Don't you promise me the world
World that I already won
This time, call me baby
Actions speak louder than words
If you're looking for devotion
Talk to me
So, baby if you want me
You've got to show me love
Words are so easy to say 
But, you've got to show me love
Give me a reason to love you
You've got to show me love
You've got to show me love
You've got to show me love
You've got to show me love
You've got to show me love",0,0,1,0,0,0,1,0,
Friend,FRND,"Trust, I watch you fall right through the floor
And I try, but I don't care anymore
Look at what a person you've become
You just turn 'til you fall and come undone
(Yeah you're the desperate one)
My friend, friend
We've come to an end
I painted this picture but the colors don't blend
And now I can't deal cause I'd rather be real instead
My friend, friend
You've got to your head
You tried to use the band aid but you laid cement
And now I can say it's too late cause I'm good on friends
I already got enough of them
I already got enough of them
My friend, friend
We've come to an end
My friend, friend
Words, they never cut you to the bone
Does it look good up there from your broken throne?
Now are you gonna pull another stunt?
Pull out your gun, say it's all in good fun
(Yeah you're the desperate one)
My friend, friend
We've come to an end
I painted this picture but the colors don't blend
And now I can't deal cause I'd rather be real instead
(I'm telling you, telling you)
My friend, friend
You've got to your head
You tried to use the band aid but you laid cement
And now I can say it's too late cause I'm good on friends
I already got enough of them
I already got enough of them
My friend, friend
We've come to an end
My friend, friend
We've come to an end
I'm calling you now
I'm calling you out
You never hear a sound
I'm calling you now
I'm calling you out
You never hear a sound
My friend, friend
We've come to an end
I painted this picture but the colors don't blend
And now I can't deal cause I'd rather be real instead
(I'm telling you, telling you)
My friend, friend
You've got to your head
You tried to use the band aid but you laid cement
And now I can say it's too late cause I'm good on friends
I already got enough of them
I already got enough of them
My friend, friend
We've come to an end
My friend, friend
We've come to an end
I'm calling you now
I'm calling you out
You never hear a sound
I'm calling you now
I'm calling you out
You never hear a sound.",0,0,0,0,0,1,1,0,
Bright Side (Remix),"Vicetone, Cosmos & Creature, Two Friends","Let's be honest
I was wandering
Circles in the rain
Too much thinking
I was sinking
I've seen better days
In the black of the night
You turned a spark to a fire
I saw gold in your eyes
In this sometimes dark life
You're the bright side
(Bright side)
In this sometimes dark life
You're the bright side
You're the bright side
Expectations, I'm impatient
Been a lonely wait
When your heart's cracked open That's the moment
Everything can change In the black of the night
You turned a spark to a fire I saw gold in your eyes
In this sometimes dark life You're the bright side
(You're the bright side)
The moon could disappear
The sun could slip away But there's a burning in your heart
That'll never fade
There are some things that I may never understand
But I know you, I know you like the back of my hand
In the black of the night You turned a spark to a fire
I saw gold in your eyes
In this sometimes dark life
You're the bright side
(You're the bright side)
In the black of the night
You turned a spark to a fire
I saw gold in your eyes
In this sometimes dark life
You're the bright side",1,1,0,0,0,0,0,1,
Breathin',"Bortharm, Cara Hughes","Runnin' down your lies
While you find the truth

Tryin' to find yourself
But you don't want to lose

Trust in pleasure
And so confused

Best things happen
When you don't want them to

I know you will see this through
Don't confide in people
Who just want you to lose your mind

I love you...? breathing
I love you...? breathing
I love you...? breathing

See the girl dripping through your eyes
One look around and you don't find...? me

I don't warn you to ...?
...?

I love you
And talk is over rated
I love you
And talk is over rated
I love you
And talk is over rated
I love you
And talk is over rated

I love you
And talk's over rated
I love you
And talk's over rated
I love you
And talk's over rated
I love you
And talk's over rated",1,1,0,0,0,0,0,0,
Solo Dance,Martin Jensen,"In the faded light
You touch my body
I can feel your hands
On my skin
Think you're got me right
Where you want me
But you're just in my way
I came the party on my own
Don't need nobody in my song
I get down to the beat I loose control
Hey oh I go
So so low
Boy you can cool it down
I'm here to fool around
Just wanna dance, dance, dance
Dance, dance, dance 
I know you want me 
But I don't care baby
Just wanna dance, dance, dance 
Dance, dance, dance
Dance, dance, dance 
Dance, dance, dance
In the shade of light
You're moving closer
We're on our way to cross the line
Think you've got me right
Where you want me
But it's all in your mind
I came the party on my own
Don't need nobody in my song
I get down to the beat I loose control
Hey oh I go 
So so low
Boy you can cool it down
I'm here to fool around
Just wanna dance, dance, dance
Dance, dance, dance 
I know you want me
But I don't care baby
Just wanna dance, dance, dance
Dance, dance, dance
Dance, dance, dance 
Dance, dance, dance 
Dance, dance, dance",0,1,0,0,0,0,0,0,
You & I,"Sterkol, Sjostrom, Bertrand Lacoste","You're going to be just fine,
I'm going to ease your mind,
you'll heal in time,
the both of us, You and I.
Broken wings will fly,
life is hard but we'll get by.
Gonna paint the sky, the both of us, You and I.
You and I.
You and I.
You'll heal in time, both of us, You and I.
You and I.
You and I.
We'll paint the sky, the both of us, You and I.
Epic sax
You and I.
You and I.
You and I.
Life is hard but we'll get by.
You and I.
You and I.
'til the end of time, the both of us, You and I.
You and I.
You and I.
You and I.
Life is hard but we'll get by.
You and I.
You and I.
'til the end of time, the both of us, You and I.
Don't you feel alive, standing here eye to eye,
yeah we'll survive, the both of us, You and I.
With your hand in mine, we'll walk side by side.
'til the end of time, the both of us, You and I.
You and I.
You and I.
Yeah we'll survive, the both of us, You and I.
You and I.
You and I.
'til the end of time, the both of us, You and I.
Epic sax
You and I.
You and I.
You and I.
Life is hard but we'll get by.
You and I.
You and I.
'til the end of time, the both of us, You and I.
You and I.
You and I.
You and I.
Life is hard but we'll get by.
You and I.
You and I.
'til the end of time, the both of us, You and I.",1,1,0,0,0,0,0,0,
Lovers Friends (Remix),"Mowe, Daniel Nitt, Adventurer","Stop
I know you can see the signs
I'm not afraid to cross the line
And turn this friendship into more
And amazing
Stop
We don't have to change at all
Old school like a carnival
Still my bestie but you're more
You're my baby
Cause love is whatever we want it
However we need it
To be
So I say
Yeah, yeah, yeah
Every single day
You'll be my homie
And I say
Yeah, yeah, yeah
Every single night
I'ma hold you tight
We'll be like
Lovers, (lovers)
Friends, (friends)
To the very, (very)
End
Oooooooh
Oooooooh
We'll be like
Lovers, (lovers)
Friends, (friends)
To the very, (very)
End
Oooooooh
Oooooooh
Stop
Half the time we left for love
The other half we cried for love
In secret
Stop
Maybe with the under [?]
You're in Venus, I'm in Mars
But I now we'll be the ones
Believe it
Cause love is whatever we want it
However we need it
To be
So I say
Yeah, yeah, yeah
Every single day
You'll be my home mate
And I say
Yeah, yeah, yeah
Every single night
I'ma hold you tight
We'll be like
Lovers, (lovers)
Friends, (friends)
To the very, (very)
End
Oooooooh
Oooooooh
We'll be like
Lovers, (lovers)
Friends, (friends)
To the very, (very)
End
Oooooooh
Oooooooh
Be your lover, Be your friend
Stick around to the very end
If you'll be my lover, be my friend
Ooh, I'll be you lover, be your friend
Stick around to the very end
If you'll be my lover, be my friend
We'll be like
Lovers, (lovers)
Friends, (friends)
To the very, (very)
End
Oooooooh
Oooooooh
We'll be like
Lovers, (lovers)
Friends, (friends)
To the very, (very)
End
Oooooooh
To the very end",1,1,0,0,0,0,0,0,
Human Touch (Remix),"Betty Who, White Panda","Good love is so hard to find
We got it right for a while
Do you get lonely at night?
We don't have to go higher, we don't have to go
The lights, cold nights, remember when
I call you every now and then
So good, that on and off again
And on again
Oh, why don't you come over?
Baby be close to me, just like you used to be
Oh, one more night to hold ya
We don't have to call it love, we just need a human touch
We don't have to call it love, we just need a human touch
I always loved how you kiss
And I'm overdue for a fix
Just with a touch of your lips
I want you to come home, I want you to come home
The lights, cold nights, remember when
I call you every now and then
So good, that on and off again
And on again
Oh, why don't you come over?
Baby be close to me, just like you used to be
Oh, one more night to hold ya
We don't have to call it love, we just need a human touch
(Yeah, yeah, yeah)
We don't have to call it love, we just need a human touch
Baby I love how you love in the in between
Baby I love how it feels when you're holding me
Baby I love how you love in the in between
Baby I love it, I love it
Oh, why don't you come over?
Baby be close to me, just like you used to be
Oh, why don't you come over?
Baby be close to me, just like you used to be
Oh, one more night to hold ya
We don't have to call it love, we just need a human touch
We don't have to call it love, we just need a human touch",0,1,0,0,1,0,0,1,
Untouchable,"Tritonal, Cash Cash","We've been wondering in the dark
A million miles apart
Going nowhere
Believe that even if we're lost
You know it won't be long 'til we get there
Spinning around no control
Burning down I'm letting go
We've been wondering in the dark
When no matter where are
Just remember
We rise and we fall
We'll stay
We'll stay untouchable
Yeah, after it all
We'll stay
We'll stay untouchable
Time is slipping through our hands
We're sinking in the sand to forever
Lie, surrender to the dark
But we could make a spark here together
Hanging on by a thread
We will climb back again
Time is slipping through our hands
It's hard to understand
But remember
We rise and we fall
We'll stay
We'll stay untouchable
Yeah, after it all
We'll stay
We'll stay untouchable
We rise and we fall
We'll stay
We'll stay untouchable
Yeah, after it all
We'll stay
We'll stay untouchable
We'll stay
We'll stay untouchable
We'll stay
We'll stay untouchable
We'll stay
We'll stay untouchable",0,1,1,0,0,0,0,1,
